W/L,Fighter,Kd,Str,Td,Sub,Weight class,Method,Round,Time,event
win,Montana De La Rosa  Nadia Kassem,0  0,21  5,2  0,3  0,Women's Flyweight,SUB  Armbar,2,2:37,UFC 234: Adesanya vs. Silva
win,Jimmy Crute  Sam Alvey,1  0,14  3,0  0,0  0,Light Heavyweight,KO/TKO  Punches,1,2:49,UFC 234: Adesanya vs. Silva
win,Devonte Smith  Dong Hyun Ma,1  0,19  1,0  0,0  0,Lightweight,KO/TKO  Punch,1,3:53,UFC 234: Adesanya vs. Silva
win,Shane Young  Austin Arnett,1  0,120  77,0  0,0  0,Featherweight,U-DEC,3,5:00,UFC 234: Adesanya vs. Silva
win,Kai Kara-France  Raulian Paiva,0  0,58  67,2  0,0  1,Flyweight,S-DEC,3,5:00,UFC 234: Adesanya vs. Silva
win,Kyung Ho Kang  Teruto Ishihara,1  1,26  17,1  0,1  0,Bantamweight,SUB  Rear Naked Choke,1,3:59,UFC 234: Adesanya vs. Silva
win,Jalin Turner  Callan Potter,1  0,9  3,0  0,0  0,Lightweight,KO/TKO  Kick,1,0:53,UFC 234: Adesanya vs. Silva
win,Jonathan Martinez  Wulijiburen,0  0,47  17,1  3,0  1,Bantamweight,U-DEC,3,5:00,UFC 234: Adesanya vs. Silva
win,Marlon Moraes  Raphael Assuncao,1  0,10  2,0  0,1  0,Bantamweight,SUB  Guillotine Choke,1,3:17,UFC Fight Night: Assuncao vs. Moraes 2
win,Jose Aldo  Renato Moicano,0  0,26  24,0  0,0  0,Featherweight,KO/TKO  Punches,2,0:44,UFC Fight Night: Assuncao vs. Moraes 2
win,Demian Maia  Lyman Good,0  0,0  0,2  0,2  0,Welterweight,SUB  Rear Naked Choke,1,2:38,UFC Fight Night: Assuncao vs. Moraes 2
win,Charles Oliveira  David Teymur,0  1,28  26,1  0,1  0,Lightweight,SUB  Anaconda Choke,2,0:55,UFC Fight Night: Assuncao vs. Moraes 2
win,Johnny Walker  Justin Ledet,1  0,7  0,0  0,0  0,Light Heavyweight,KO/TKO  Spinning Back Fist,1,0:15,UFC Fight Night: Assuncao vs. Moraes 2
win,Livinha Souza  Sarah Frota,0  0,23  32,4  0,3  0,Women's Strawweight,S-DEC,3,5:00,UFC Fight Night: Assuncao vs. Moraes 2
win,Markus Perez  Anthony Hernandez,0  0,16  17,1  0,1  0,Middleweight,SUB  Anaconda Choke,2,1:07,UFC Fight Night: Assuncao vs. Moraes 2
win,Mara Romero Borella  Taila Santos,0  0,29  36,2  1,0  2,Women's Flyweight,S-DEC,3,5:00,UFC Fight Night: Assuncao vs. Moraes 2
win,Thiago Alves  Max Griffin,0  1,83  112,0  2,0  0,Welterweight,S-DEC,3,5:00,UFC Fight Night: Assuncao vs. Moraes 2
win,Jairzinho Rozenstruik  Junior Albini,1  0,19  18,0  2,0  0,Heavyweight,KO/TKO  Kick,2,0:54,UFC Fight Night: Assuncao vs. Moraes 2
win,Geraldo de Freitas  Felipe Colares,0  0,49  21,6  3,0  0,Featherweight,U-DEC,3,5:00,UFC Fight Night: Assuncao vs. Moraes 2
win,Said Nurmagomedov  Ricardo Ramos,1  0,17  2,0  0,0  0,Bantamweight,KO/TKO  Spinning Back Kick,1,2:28,UFC Fight Night: Assuncao vs. Moraes 2
win,Rogerio Bontorin  Bibulatov Magomed,0  0,40  58,1  4,2  0,Flyweight,S-DEC,3,5:00,UFC Fight Night: Assuncao vs. Moraes 2
win,Henry Cejudo  TJ Dillashaw,1  0,18  1,0  0,0  0,Flyweight,KO/TKO  Punches,1,0:32,UFC Fight Night: Cejudo vs. Dillashaw
win,Allen Crowder  Greg Hardy,0  0,12  29,1  0,1  0,Heavyweight,DQ,2,2:28,UFC Fight Night: Cejudo vs. Dillashaw
win,Gregor Gillespie  Yancy Medeiros,0  0,51  1,6  0,0  0,Lightweight,KO/TKO  Punches,2,4:59,UFC Fight Night: Cejudo vs. Dillashaw
win,Joseph Benavidez  Dustin Ortiz,1  0,21  49,7  3,0  0,Flyweight,U-DEC,3,5:00,UFC Fight Night: Cejudo vs. Dillashaw
win,Paige VanZant  Rachael Ostovich,0  0,17  10,0  4,2  0,Women's Flyweight,SUB  Armbar,2,1:50,UFC Fight Night: Cejudo vs. Dillashaw
win,Glover Teixeira  Karl Roberson,0  1,6  24,1  0,1  0,Light Heavyweight,SUB  Arm Triangle,1,3:21,UFC Fight Night: Cejudo vs. Dillashaw
win,Donald Cerrone  Alexander Hernandez,1  0,80  49,1  0,0  0,Lightweight,KO/TKO  Kick,2,3:43,UFC Fight Night: Cejudo vs. Dillashaw
win,Joanne Wood  Ariane Lipski,0  0,85  53,1  1,2  0,Women's Flyweight,U-DEC,3,5:00,UFC Fight Night: Cejudo vs. Dillashaw
win,Alonzo Menifield  Vinicius Moreira,1  0,33  11,0  0,0  0,Light Heavyweight,KO/TKO  Punch,1,3:56,UFC Fight Night: Cejudo vs. Dillashaw
win,Cory Sandhagen  Mario Bautista,1  0,17  9,1  1,2  0,Bantamweight,SUB  Armbar,1,3:31,UFC Fight Night: Cejudo vs. Dillashaw
win,Dennis Bermudez  Te Edwards,0  1,63  23,5  0,2  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Cejudo vs. Dillashaw
win,Geoff Neal  Belal Muhammad,2  0,71  63,0  0,0  0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Cejudo vs. Dillashaw
win,Chance Rencountre  Kyle Stewart,0  0,6  2,2  0,1  0,Welterweight,SUB  Rear Naked Choke,1,2:25,UFC Fight Night: Cejudo vs. Dillashaw
win,Jon Jones  Alexander Gustafsson,0  0,59  22,1  0,0  0,Light Heavyweight,KO/TKO  Punches,3,2:02,UFC 232: Jones vs. Gustafsson 2
win,Amanda Nunes  Cristiane Justino,2  0,13  3,0  0,0  0,Women's Featherweight,KO/TKO  Punches,1,0:51,UFC 232: Jones vs. Gustafsson 2
win,Michael Chiesa  Carlos Condit,0  0,10  5,4  0,1  1,Welterweight,SUB  Kimura,2,0:56,UFC 232: Jones vs. Gustafsson 2
win,Corey Anderson  Ilir Latifi,0  0,40  33,0  0,0  0,Light Heavyweight,U-DEC,3,5:00,UFC 232: Jones vs. Gustafsson 2
win,Alexander Volkanovski  Chad Mendes,1  1,54  28,0  3,0  0,Featherweight,KO/TKO  Punches,2,4:14,UFC 232: Jones vs. Gustafsson 2
nc nc,Andrei Arlovski  Walt Harris,0  0,44  24,0  1,0  0,Heavyweight,Overturned,3,5:00,UFC 232: Jones vs. Gustafsson 2
win,Megan Anderson  Cat Zingano,0  0,3  3,0  0,0  0,Women's Featherweight,KO/TKO  Kick,1,1:01,UFC 232: Jones vs. Gustafsson 2
win,Petr Yan  Douglas Silva de Andrade,0  0,76  28,3  0,1  0,Bantamweight,KO/TKO,2,5:00,UFC 232: Jones vs. Gustafsson 2
win,Ryan Hall  BJ Penn,0  0,6  3,0  0,1  0,Lightweight,SUB  Heel Hook,1,2:46,UFC 232: Jones vs. Gustafsson 2
win,Nathaniel Wood  Andre Ewell,1  0,61  15,2  0,1  0,Bantamweight,SUB  Rear Naked Choke,3,4:12,UFC 232: Jones vs. Gustafsson 2
win,Uriah Hall  Bevon Lewis,1  0,39  68,0  0,0  0,Middleweight,KO/TKO  Punch,3,1:32,UFC 232: Jones vs. Gustafsson 2
win,Curtis Millender  Siyar Bahadurzada,0  0,89  40,0  3,0  0,Welterweight,U-DEC,3,5:00,UFC 232: Jones vs. Gustafsson 2
win,Montel Jackson  Brian Kelleher,0  0,10  6,0  0,1  0,Bantamweight,SUB  D'Arce Choke,1,1:40,UFC 232: Jones vs. Gustafsson 2
win,Al Iaquinta  Kevin Lee,0  0,111  102,0  3,0  0,Lightweight,U-DEC,5,5:00,UFC Fight Night: Lee vs. Iaquinta
win,Edson Barboza  Dan Hooker,1  0,126  81,0  0,0  0,Lightweight,KO/TKO  Punches,3,2:19,UFC Fight Night: Lee vs. Iaquinta
win,Rob Font  Sergio Pettis,0  0,111  71,2  1,1  0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Lee vs. Iaquinta
win,Charles Oliveira  Jim Miller,0  0,0  1,1  0,1  0,Lightweight,SUB  Rear Naked Choke,1,1:15,UFC Fight Night: Lee vs. Iaquinta
win,Zak Ottow  Dwight Grant,0  0,14  25,1  1,0  0,Welterweight,S-DEC,3,5:00,UFC Fight Night: Lee vs. Iaquinta
win,Drakkar Klose  Bobby Green,0  0,58  92,0  1,0  1,Lightweight,U-DEC,3,5:00,UFC Fight Night: Lee vs. Iaquinta
win,Joaquim Silva  Jared Gordon,0  0,95  116,1  3,2  0,Lightweight,KO/TKO  Punches,3,2:39,UFC Fight Night: Lee vs. Iaquinta
win,Jack Hermansson  Gerald Meerschaert,0  0,41  1,1  0,1  0,Middleweight,SUB  Guillotine Choke,1,4:25,UFC Fight Night: Lee vs. Iaquinta
win,Zak Cummings  Trevor Smith,1  0,56  54,0  0,0  0,Middleweight,U-DEC,3,5:00,UFC Fight Night: Lee vs. Iaquinta
win,Dan Ige  Jordan Griffin,0  0,56  56,3  0,0  1,Featherweight,U-DEC,3,5:00,UFC Fight Night: Lee vs. Iaquinta
win,Mike Rodriguez  Adam Milstead,2  0,35  10,0  0,0  0,Light Heavyweight,KO/TKO  Knee,1,2:59,UFC Fight Night: Lee vs. Iaquinta
win,Juan Adams  Chris de la Rocha,0  0,86  41,2  1,0  0,Heavyweight,KO/TKO  Knee,3,0:58,UFC Fight Night: Lee vs. Iaquinta
win,Max Holloway  Brian Ortega,0  0,290  110,1  2,0  0,Featherweight,KO/TKO,4,5:00,UFC 231: Holloway vs. Ortega
win,Valentina Shevchenko  Joanna Jedrzejczyk,0  0,89  78,5  0,0  0,Women's Flyweight,U-DEC,5,5:00,UFC 231: Holloway vs. Ortega
win,Gunnar Nelson  Alex Oliveira,0  0,11  36,2  0,1  0,Welterweight,SUB  Rear Naked Choke,2,4:17,UFC 231: Holloway vs. Ortega
win,Hakeem Dawodu  Kyle Bochniak,0  0,103  42,0  2,0  0,Featherweight,S-DEC,3,5:00,UFC 231: Holloway vs. Ortega
win,Thiago Santos  Jimi Manuwa,2  0,42  27,1  0,0  0,Light Heavyweight,KO/TKO  Punch,2,0:41,UFC 231: Holloway vs. Ortega
win,Nina Nunes  Claudia Gadelha,0  0,96  49,0  2,0  0,Women's Strawweight,U-DEC,3,5:00,UFC 231: Holloway vs. Ortega
win,Gilbert Burns  Olivier Aubin-Mercier,1  0,76  40,3  0,0  0,Lightweight,U-DEC,3,5:00,UFC 231: Holloway vs. Ortega
win,Jessica Eye  Katlyn Chookagian,0  0,81  65,0  0,0  0,Women's Flyweight,S-DEC,3,5:00,UFC 231: Holloway vs. Ortega
win,Elias Theodorou  Eryk Anders,0  1,92  65,0  0,0  0,Middleweight,S-DEC,3,5:00,UFC 231: Holloway vs. Ortega
win,Brad Katona  Matthew Lopez,0  0,76  69,0  4,0  1,Bantamweight,U-DEC,3,5:00,UFC 231: Holloway vs. Ortega
win,Dhiego Lima  Chad Laprise,1  0,5  8,0  0,0  0,Welterweight,KO/TKO  Punch,1,1:37,UFC 231: Holloway vs. Ortega
win,Diego Ferreira  Kyle Nelson,0  0,54  20,2  0,1  0,Lightweight,KO/TKO  Punches,2,1:23,UFC 231: Holloway vs. Ortega
win,Aleksandar Rakic  Devin Clark,1  1,31  19,0  0,0  0,Light Heavyweight,KO/TKO  Spinning Back Fist,1,4:05,UFC 231: Holloway vs. Ortega
win,Junior Dos Santos  Tai Tuivasa,1  0,26  16,0  0,0  0,Heavyweight,KO/TKO  Punches,2,2:30,UFC Fight Night: Dos Santos vs. Tuivasa
win,Mauricio Rua  Tyson Pedro,1  0,30  31,3  0,0  1,Light Heavyweight,KO/TKO  Punches,3,0:43,UFC Fight Night: Dos Santos vs. Tuivasa
win,Justin Willis  Mark Hunt,0  0,59  19,0  0,0  0,Heavyweight,U-DEC,3,5:00,UFC Fight Night: Dos Santos vs. Tuivasa
win,Anthony Rocco Martin  Jake Matthews,0  0,25  24,0  0,1  1,Welterweight,SUB  Anaconda Choke,3,1:19,UFC Fight Night: Dos Santos vs. Tuivasa
win,Sodiq Yusuff  Suman Mokhtarian,0  0,23  5,0  0,0  0,Featherweight,KO/TKO  Punches,1,2:14,UFC Fight Night: Dos Santos vs. Tuivasa
win,Jimmy Crute  Paul Craig,0  0,17  12,1  3,4  0,Light Heavyweight,SUB  Kimura,3,4:51,UFC Fight Night: Dos Santos vs. Tuivasa
win,Aleksei Kunchenko  Yushin Okami,0  0,72  10,0  0,0  0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Dos Santos vs. Tuivasa
win,Wilson Reis  Ben Nguyen,0  0,32  39,7  0,1  0,Flyweight,U-DEC,3,5:00,UFC Fight Night: Dos Santos vs. Tuivasa
win,Keita Nakamura  Salim Touahri,1  0,41  34,0  0,0  0,Welterweight,S-DEC,3,5:00,UFC Fight Night: Dos Santos vs. Tuivasa
win,Kai Kara-France  Elias Garcia,1  1,86  16,0  1,0  2,Flyweight,U-DEC,3,5:00,UFC Fight Night: Dos Santos vs. Tuivasa
win,Christos Giagos  Mizuto Hirota,0  0,31  19,5  0,0  1,Lightweight,U-DEC,3,5:00,UFC Fight Night: Dos Santos vs. Tuivasa
win,Damir Ismagulov  Alex Gorgees,0  0,34  10,5  0,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Dos Santos vs. Tuivasa
win,Kamaru Usman  Rafael Dos Anjos,0  0,130  62,12  0,0  2,Welterweight,U-DEC,5,5:00,The Ultimate Fighter: Heavy Hitters Finale
win,Juan Espino  Justin Frazier,0  0,22  4,2  0,2  0,Heavyweight,SUB  Armbar,1,3:36,The Ultimate Fighter: Heavy Hitters Finale
win,Macy Chiasson  Pannie Kianzad,1  0,24  19,0  0,2  1,Women's Featherweight,SUB  Rear Naked Choke,2,2:11,The Ultimate Fighter: Heavy Hitters Finale
win,Pedro Munhoz  Bryan Caraway,1  0,35  20,0  0,0  0,Bantamweight,KO/TKO  Kick,1,2:39,The Ultimate Fighter: Heavy Hitters Finale
win,Edmen Shahbazyan  Darren Stewart,0  0,22  34,8  1,0  0,Middleweight,S-DEC,3,5:00,The Ultimate Fighter: Heavy Hitters Finale
win,Antonina Shevchenko  Ji Yeon Kim,0  0,66  33,2  0,0  0,Women's Flyweight,U-DEC,3,5:00,The Ultimate Fighter: Heavy Hitters Finale
win,Kevin Aguilar  Ricky Glenn,1  0,86  74,0  0,0  0,Featherweight,U-DEC,3,5:00,The Ultimate Fighter: Heavy Hitters Finale
win,Joseph Benavidez  Alex Perez,0  0,35  14,1  1,0  0,Flyweight,KO/TKO  Punches,1,4:19,The Ultimate Fighter: Heavy Hitters Finale
win,Maurice Greene  Michel Batista,0  0,9  0,0  1,1  0,Heavyweight,SUB  Triangle Choke,1,2:14,The Ultimate Fighter: Heavy Hitters Finale
win,Leah Letson  Julija Stoliarenko,0  0,73  57,0  0,0  1,Women's Featherweight,S-DEC,3,5:00,The Ultimate Fighter: Heavy Hitters Finale
win,Roosevelt Roberts  Darrell Horcher,0  0,16  10,0  0,1  0,Lightweight,SUB  Guillotine Choke,1,4:50,The Ultimate Fighter: Heavy Hitters Finale
win,Tim Means  Ricky Rainey,0  0,19  6,2  0,0  0,Welterweight,KO/TKO  Punches,1,1:18,The Ultimate Fighter: Heavy Hitters Finale
win,Raoni Barcelos  Chris Gutierrez,0  0,35  26,2  0,1  0,Bantamweight,SUB  Rear Naked Choke,2,4:12,The Ultimate Fighter: Heavy Hitters Finale
win,Francis Ngannou  Curtis Blaydes,1  0,13  1,0  0,0  0,Heavyweight,KO/TKO  Punch,1,0:45,UFC Fight Night: Blaydes vs. Ngannou 2
win,Alistair Overeem  Sergei Pavlovich,0  0,22  13,1  0,0  0,Heavyweight,KO/TKO  Punches,1,4:21,UFC Fight Night: Blaydes vs. Ngannou 2
win,Song Yadong  Vince Morales,0  0,79  74,2  0,0  0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Blaydes vs. Ngannou 2
win,Li Jingliang  David Zawada,1  1,89  73,1  0,0  0,Welterweight,KO/TKO  Kick,3,4:07,UFC Fight Night: Blaydes vs. Ngannou 2
win,Alex Morono  Song Kenan,0  0,98  61,0  0,0  0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Blaydes vs. Ngannou 2
win,Wu Yanan  Lauren Mueller,0  0,18  17,0  0,1  0,Women's Flyweight,SUB  Armbar,1,4:00,UFC Fight Night: Blaydes vs. Ngannou 2
win,Rashad Coulter  Hu Yaozong,1  0,98  92,0  0,0  0,Light Heavyweight,U-DEC,3,5:00,UFC Fight Night: Blaydes vs. Ngannou 2
win,Zhang Weili  Jessica Aguilar,0  0,45  9,1  0,2  0,Women's Strawweight,SUB  Armbar,1,3:41,UFC Fight Night: Blaydes vs. Ngannou 2
win,Pingyuan Liu  Martin Day,1  1,55  100,0  1,2  2,Bantamweight,S-DEC,3,5:00,UFC Fight Night: Blaydes vs. Ngannou 2
win,Yan Xiaonan  Syuri Kondo,0  0,150  86,0  0,0  0,Women's Strawweight,U-DEC,3,5:00,UFC Fight Night: Blaydes vs. Ngannou 2
win,Kevin Holland  John Phillips,0  0,123  51,5  0,2  0,Middleweight,SUB  Rear Naked Choke,3,4:05,UFC Fight Night: Blaydes vs. Ngannou 2
win,Louis Smolka  Sumudaerji,0  0,32  18,2  0,1  2,Bantamweight,SUB  Armbar,2,2:07,UFC Fight Night: Blaydes vs. Ngannou 2
win,Santiago Ponzinibbio  Neil Magny,2  0,79  72,0  0,0  0,Welterweight,KO/TKO  Punch,4,2:36,UFC Fight Night: Magny vs. Ponzinibbio
win,Ricardo Lamas  Darren Elkins,0  0,70  62,3  3,0  0,Featherweight,KO/TKO  Elbows,3,4:09,UFC Fight Night: Magny vs. Ponzinibbio
win,Johnny Walker  Khalil Rountree Jr.,1  0,10  4,0  0,0  0,Light Heavyweight,KO/TKO  Elbow,1,1:57,UFC Fight Night: Magny vs. Ponzinibbio
win,Ian Heinisch  Cezar Ferreira,1  0,55  26,1  5,2  0,Middleweight,U-DEC,3,5:00,UFC Fight Night: Magny vs. Ponzinibbio
win,Marlon Vera  Guido Cannetti,1  0,24  24,2  2,2  0,Bantamweight,SUB  Rear Naked Choke,2,1:31,UFC Fight Night: Magny vs. Ponzinibbio
win,Cynthia Calvillo  Poliana Botelho,0  0,22  6,2  0,1  0,Women's Strawweight,SUB  Rear Naked Choke,1,4:48,UFC Fight Night: Magny vs. Ponzinibbio
win,Michel Prazeres  Bartosz Fabinski,1  0,18  1,1  0,1  0,Welterweight,SUB  Guillotine Choke,1,1:02,UFC Fight Night: Magny vs. Ponzinibbio
win,Alexandre Pantoja  Yuta Sasaki,0  0,4  7,0  0,2  0,Flyweight,SUB  Rear Naked Choke,1,2:18,UFC Fight Night: Magny vs. Ponzinibbio
win,Austin Arnett  Humberto Bandenay,0  0,74  30,1  2,0  0,Featherweight,U-DEC,3,5:00,UFC Fight Night: Magny vs. Ponzinibbio
win,Laureano Staropoli  Hector Aldana,0  0,97  69,0  0,0  0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Magny vs. Ponzinibbio
win,Jesus Pinedo  Devin Powell,0  0,60  58,5  0,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Magny vs. Ponzinibbio
win,Nad Narimani  Anderson Dos Santos,0  0,84  46,1  0,0  1,Featherweight,U-DEC,3,5:00,UFC Fight Night: Magny vs. Ponzinibbio
win,Yair Rodriguez  Chan Sung Jung,1  0,119  126,0  0,0  0,Featherweight,KO/TKO  Elbow,5,4:59,UFC Fight Night: Korean Zombie vs. Rodriguez
win,Donald Cerrone  Mike Perry,0  0,9  11,0  1,1  0,Welterweight,SUB  Armbar,1,4:46,UFC Fight Night: Korean Zombie vs. Rodriguez
win,Germaine de Randamie  Raquel Pennington,0  0,42  24,0  0,0  0,Women's Bantamweight,U-DEC,3,5:00,UFC Fight Night: Korean Zombie vs. Rodriguez
win,Beneil Dariush  Thiago Moises,0  0,44  8,4  0,2  4,Lightweight,U-DEC,3,5:00,UFC Fight Night: Korean Zombie vs. Rodriguez
win,Maycee Barber  Hannah Cifers,0  0,68  41,1  0,0  0,Women's Strawweight,KO/TKO  Punches,2,2:01,UFC Fight Night: Korean Zombie vs. Rodriguez
win,Michael Trizano  Luis Pena,0  0,51  23,1  1,1  0,Lightweight,S-DEC,3,5:00,UFC Fight Night: Korean Zombie vs. Rodriguez
win,Ashley Yoder  Amanda Cooper,0  0,38  51,1  2,3  2,Women's Strawweight,S-DEC,3,5:00,UFC Fight Night: Korean Zombie vs. Rodriguez
nc nc,Chas Skelly  Bobby Moffett,0  0,30  20,1  1,0  1,Featherweight,Overturned  D'Arce Choke,2,2:43,UFC Fight Night: Korean Zombie vs. Rodriguez
win,Davi Ramos  John Gunther,0  0,4  1,1  0,1  0,Lightweight,SUB  Rear Naked Choke,1,1:57,UFC Fight Night: Korean Zombie vs. Rodriguez
win,Devonte Smith  Julian Erosa,1  0,13  4,0  0,0  0,Lightweight,KO/TKO  Punches,1,0:46,UFC Fight Night: Korean Zombie vs. Rodriguez
win,Eric Shelton  Joseph Morales,0  0,16  24,7  1,0  4,Flyweight,S-DEC,3,5:00,UFC Fight Night: Korean Zombie vs. Rodriguez
win,Mark De La Rosa  Joby Sanchez,0  0,66  55,0  0,0  0,Bantamweight,S-DEC,3,5:00,UFC Fight Night: Korean Zombie vs. Rodriguez
win,Daniel Cormier  Derrick Lewis,0  0,19  4,4  0,1  0,Heavyweight,SUB  Rear Naked Choke,2,2:14,UFC 230: Cormier vs. Lewis
win,Jacare Souza  Chris Weidman,1  0,74  68,0  1,0  0,Middleweight,KO/TKO  Punches,3,2:46,UFC 230: Cormier vs. Lewis
win,Jared Cannonier  David Branch,1  0,26  10,0  3,0  0,Middleweight,KO/TKO  Punches,2,0:39,UFC 230: Cormier vs. Lewis
win,Karl Roberson  Jack Marshman,0  0,34  21,2  0,0  0,Middleweight,U-DEC,3,5:00,UFC 230: Cormier vs. Lewis
win,Israel Adesanya  Derek Brunson,3  0,13  3,0  0,0  0,Middleweight,KO/TKO  Punches,1,4:51,UFC 230: Cormier vs. Lewis
win,Jordan Rinaldi  Jason Knight,0  0,20  12,3  0,2  0,Featherweight,U-DEC,3,5:00,UFC 230: Cormier vs. Lewis
win,Sijara Eubanks  Roxanne Modafferi,1  0,57  28,3  1,0  0,Women's Flyweight,U-DEC,3,5:00,UFC 230: Cormier vs. Lewis
win,Sheymon Moraes  Julio Arce,2  0,32  25,0  1,0  2,Featherweight,S-DEC,3,5:00,UFC 230: Cormier vs. Lewis
win,Lyman Good  Ben Saunders,1  0,14  12,0  0,0  0,Welterweight,KO/TKO  Punches,1,1:32,UFC 230: Cormier vs. Lewis
draw draw,Matt Frevola  Lando Vannata,0  2,66  67,2  1,1  1,Lightweight,M-DEC,3,5:00,UFC 230: Cormier vs. Lewis
win,Shane Burgos  Kurt Holobaugh,0  1,17  21,0  0,1  0,Featherweight,SUB  Armbar,1,2:11,UFC 230: Cormier vs. Lewis
win,Marcos Rogerio de Lima  Adam Wieczorek,0  0,28  7,3  1,0  0,Heavyweight,U-DEC,3,5:00,UFC 230: Cormier vs. Lewis
win,Anthony Smith  Volkan Oezdemir,0  0,63  77,1  1,2  0,Light Heavyweight,SUB  Rear Naked Choke,3,4:26,UFC Fight Night: Oezdemir vs. Smith
win,Michael Johnson  Artem Lobov,0  0,99  67,1  0,0  0,Featherweight,U-DEC,3,5:00,UFC Fight Night: Oezdemir vs. Smith
win,Misha Cirkunov  Patrick Cummins,0  0,11  3,1  0,2  0,Light Heavyweight,SUB  Arm Triangle,1,2:40,UFC Fight Night: Oezdemir vs. Smith
win,Andre Soukhamthath  Jonathan Martinez,2  0,79  71,3  1,1  0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Oezdemir vs. Smith
win,Gian Villante  Ed Herman,0  0,81  84,0  0,0  0,Light Heavyweight,S-DEC,3,5:00,UFC Fight Night: Oezdemir vs. Smith
win,Court McGee  Alex Garcia,1  0,51  27,2  1,0  0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Oezdemir vs. Smith
win,Sean Strickland  Nordine Taleb,1  0,65  48,0  0,0  0,Welterweight,KO/TKO  Punch,2,3:10,UFC Fight Night: Oezdemir vs. Smith
win,Nasrat Haqparast  Thibault Gouti,1  0,124  78,0  0,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Oezdemir vs. Smith
win,Calvin Kattar  Chris Fishgold,1  0,24  20,0  1,0  0,Featherweight,KO/TKO  Punch,1,4:11,UFC Fight Night: Oezdemir vs. Smith
win,Talita Bernardo  Sarah Moras,0  0,60  37,2  1,1  0,Women's Bantamweight,U-DEC,3,5:00,UFC Fight Night: Oezdemir vs. Smith
win,Don Madge  Te Edwards,2  0,21  5,0  1,1  0,Lightweight,KO/TKO  Kick,2,0:14,UFC Fight Night: Oezdemir vs. Smith
win,Arjan Bhullar  Marcelo Golm,0  0,47  43,1  0,0  0,Heavyweight,U-DEC,3,5:00,UFC Fight Night: Oezdemir vs. Smith
win,Stevie Ray  Jessin Ayari,0  0,75  63,0  0,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Oezdemir vs. Smith
win,Khabib Nurmagomedov  Conor McGregor,0  0,70  51,3  0,1  0,Lightweight,SUB  Neck Crank,4,3:03,UFC 229: Khabib vs. McGregor
win,Tony Ferguson  Anthony Pettis,0  1,114  45,0  0,0  0,Lightweight,KO/TKO,2,5:00,UFC 229: Khabib vs. McGregor
win,Dominick Reyes  Ovince Saint Preux,1  0,94  38,0  1,0  0,Light Heavyweight,U-DEC,3,5:00,UFC 229: Khabib vs. McGregor
win,Derrick Lewis  Alexander Volkov,1  0,39  121,0  1,0  0,Heavyweight,KO/TKO  Punches,3,4:49,UFC 229: Khabib vs. McGregor
win,Michelle Waterson-Gomez  Felice Herrig,0  0,76  51,0  1,0  0,Women's Strawweight,U-DEC,3,5:00,UFC 229: Khabib vs. McGregor
win,Jussier Formiga  Sergio Pettis,0  0,18  30,2  0,0  0,Flyweight,U-DEC,3,5:00,UFC 229: Khabib vs. McGregor
win,Vicente Luque  Jalin Turner,1  0,41  31,0  0,0  0,Welterweight,KO/TKO  Punches,1,3:52,UFC 229: Khabib vs. McGregor
win,Aspen Ladd  Tonya Evinger,0  0,50  9,0  0,0  0,Women's Bantamweight,KO/TKO  Punches,1,3:26,UFC 229: Khabib vs. McGregor
win,Scott Holtzman  Alan Patrick,1  0,73  25,1  0,0  0,Lightweight,KO/TKO  Elbows,3,3:42,UFC 229: Khabib vs. McGregor
win,Yana Santos  Lina Lansberg,0  0,72  43,5  0,1  1,Women's Bantamweight,U-DEC,3,5:00,UFC 229: Khabib vs. McGregor
win,Nik Lentz  Gray Maynard,1  0,75  13,2  0,1  0,Lightweight,KO/TKO  Kick,2,1:19,UFC 229: Khabib vs. McGregor
win,Anthony Rocco Martin  Ryan LaFlare,2  0,36  35,0  0,1  0,Welterweight,KO/TKO  Kick,3,1:00,UFC 229: Khabib vs. McGregor
win,Thiago Santos  Eryk Anders,0  0,100  32,1  6,0  1,Light Heavyweight,KO/TKO,3,5:00,UFC Fight Night: Marreta vs. Anders
win,Alex Oliveira  Carlo Pedersoli Jr.,0  0,7  2,0  0,0  0,Welterweight,KO/TKO  Punch,1,0:39,UFC Fight Night: Marreta vs. Anders
win,Rogerio Nogueira  Sam Alvey,1  0,26  34,0  0,0  0,Light Heavyweight,KO/TKO  Punch,2,1:00,UFC Fight Night: Marreta vs. Anders
win,Andre Ewell  Renan Barao,1  0,53  44,1  3,0  2,Bantamweight,S-DEC,3,5:00,UFC Fight Night: Marreta vs. Anders
